Period,Description,CustomerID,Prev,Change
2011-12,RABBIT NIGHT LIGHT,104,325.0,-221.0
2011-12,PAPER CHAIN KIT 50'S CHRISTMAS ,93,277.0,-184.0
2011-12,HOT WATER BOTTLE KEEP CALM,72,217.0,-145.0
2011-12,WOODEN STAR CHRISTMAS SCANDINAVIAN,31,175.0,-144.0
2011-12,WHITE HANGING HEART T-LIGHT HOLDER,49,192.0,-143.0
2011-12,JUMBO BAG 50'S CHRISTMAS ,57,193.0,-136.0
2011-12,WOODEN HEART CHRISTMAS SCANDINAVIAN,28,164.0,-136.0
2011-12,ASSORTED COLOUR BIRD ORNAMENT,43,178.0,-135.0
2011-12,LUNCH BAG PAISLEY PARK  ,45,178.0,-133.0
2011-12,JUMBO BAG PAISLEY PARK,45,176.0,-131.0
